id,user_id,amount,transaction_date
1,8158,438.26,24/08/2024
2,7144,192.54,27/04/2024
3,2392,306.13,30/01/2024
4,5470,191.79,16/09/2024
5,8360,108.03,14/02/2024
6,1451,162.53,08/09/2024
7,8972,367.96,10/02/2024
8,4539,75.5,15/05/2024
9,9468,88.12,01/08/2024
10,5464,262.15,01/05/2024
11,6368,410.73,12/06/2024
12,8199,480.39,30/07/2024
13,9781,425,26/04/2024
14,9510,275.9,08/06/2024
15,9616,470.5,22/01/2024
16,3927,435.68,17/03/2024
17,7797,124.54,06/08/2024
18,1722,75.4,28/05/2024
19,3689,177.11,15/09/2024
20,1855,321.05,28/08/2024
21,1189,475.69,29/04/2024
22,4128,348.78,03/02/2024
23,2264,259.64,14/08/2024
24,5928,428.08,24/07/2024
25,2757,20.82,02/03/2024
26,1151,86.37,04/05/2024
27,5068,281.44,25/03/2024
28,1936,435.91,05/03/2024
29,6860,226.94,13/09/2024
30,3638,420.68,06/09/2024
31,1912,477.49,17/06/2024
32,2057,289.44,07/02/2024
33,4777,384.59,07/04/2024
34,1491,239.66,23/08/2024
35,650,312.79,21/07/2024
36,6083,80.48,28/05/2024
37,1952,458.05,19/06/2024
38,1546,253.9,11/08/2024
39,7262,467.25,17/05/2024
40,3538,178.22,03/03/2024
41,8457,20.54,26/08/2024
42,1951,331.92,19/09/2024
43,8135,442.21,08/08/2024
44,3632,401.08,21/04/2024
45,4657,145.16,06/04/2024
46,4669,28.11,16/04/2024
47,6999,192.91,11/01/2024
48,901,349.66,29/03/2024
49,4078,244.74,29/05/2024
50,9244,498.39,11/03/2024
51,7999,419.1,17/07/2024
52,6201,34.31,27/02/2024
53,6012,439.96,16/02/2024
54,8826,438.42,12/08/2024
55,6039,377.91,22/04/2024
56,7096,54.56,24/03/2024
57,120,173.31,15/06/2024
58,1585,312.1,25/05/2024
59,240,253.18,07/02/2024
60,7789,395.61,08/08/2024
61,7090,103.53,26/02/2024
62,3707,26.95,20/09/2024
