transaction_id,user_id,amount,transaction_date
1,8158,438.26,2024-08-24
2,7144,192.54,2024-04-27
3,2392,306.13,2024-01-30
4,5470,191.79,2024-09-16
5,8360,108.03,2024-02-14
6,1451,162.53,2024-09-08
7,8972,367.96,2024-02-10
8,4539,75.5,2024-05-15
9,9468,88.12,2024-08-01
10,5464,262.15,2024-05-01
11,6368,410.73,2024-06-12
12,8199,480.39,2024-07-30
13,9781,425.0,2024-04-26
14,9510,275.9,2024-06-08
15,9616,470.5,2024-01-22
16,3927,435.68,2024-03-17
17,7797,124.54,2024-08-06
18,1722,75.4,2024-05-28
19,3689,177.11,2024-09-15
20,1855,321.05,2024-08-28
21,1189,475.69,2024-04-29
22,4128,348.78,2024-02-03
23,2264,259.64,2024-08-14
24,5928,428.08,2024-07-24
25,2757,20.82,2024-03-02
26,1151,86.37,2024-05-04
27,5068,281.44,2024-03-25
28,1936,435.91,2024-03-05
29,6860,226.94,2024-09-13
30,3638,420.68,2024-09-06
31,1912,477.49,2024-06-17
32,2057,289.44,2024-02-07
33,4777,384.59,2024-04-07
34,1491,239.66,2024-08-23
35,650,312.79,2024-07-21
36,6083,80.48,2024-05-28
37,1952,458.05,2024-06-19
38,1546,253.9,2024-08-11
39,7262,467.25,2024-05-17
40,3538,178.22,2024-03-03
41,8457,20.54,2024-08-26
42,1951,331.92,2024-09-19
43,8135,442.21,2024-08-08
44,3632,401.08,2024-04-21
45,4657,145.16,2024-04-06
46,4669,28.11,2024-04-16
47,6999,192.91,2024-01-11
48,901,349.66,2024-03-29
49,4078,244.74,2024-05-29
50,9244,498.39,2024-03-11
51,7999,419.1,2024-07-17
52,6201,34.31,2024-02-27
53,6012,439.96,2024-02-16
54,8826,438.42,2024-08-12
55,6039,377.91,2024-04-22
56,7096,54.56,2024-03-24
57,120,173.31,2024-06-15
58,1585,312.1,2024-05-25
59,240,253.18,2024-02-07
60,7789,395.61,2024-08-08
61,7090,103.53,2024-02-26
62,3707,26.95,2024-09-20
63,4059,324.49,2024-07-30
64,9765,135.04,2024-07-02
65,5808,136.82,2024-03-31
66,6079,497.22,2024-09-13
